"tipo","nombre"
"AG","AGREGADO"
"AL","ALDEA, ALAMEDA"
"AR","AREA, ARRABAL"
"AU","AUTOPISTA"
"AV","AVENIDA"
"AY","ARROYO"
"BJ","BAJADA"
"BO","BARRIO"
"BR","BARRANCO"
"CA","CAÑADA"
"CG","COLEGIO, CIGARRAL"
"CH","CHALET"
"CI","CINTURON"
"CJ","CALLEJA, CALLEJON"
"CL","CALLE"
"CM","CAMINO, CARMEN"
"CN","COLONIA"
"CO","CONCEJO, COLEGIO"
"CP","CAMPA, CAMPO"
"CR","CARRETERA, CARRERA"
"CS","CASERIO"
"CT","CUESTA, COSTANILLA"
"CU","CONJUNTO"
"DE","DETRÁS"
"DP","DIPUTACION"
"DS","DISEMINADOS"
"ED","EDIFICIOS"
"EM","EXTRAMUROS"
"EN","ENTRADA, ENSANCHE"
"ER","EXTRARRADIO"
"ES","ESCALINATA"
"EX","EXPLANADA"
"FC","FERROCARRIL"
"FN","FINCA"
"GL","GLORIETA"
"GR","GRUPO"
"GV","GRAN VIA"
"HT","HUERTA, HUERTO"
"JR","JARDINES"
"LD","LADO, LADERA"
"LG","LUGAR"
"MC","MERCADO"
"ML","MUELLE"
"MN","MUNICIPIO"
"MS","MASIAS"
"MT","MONTE"
"MZ","MANZANA"
"PB","POBLADO"
"PD","PARTIDA"
"PJ","PASAJE, PASADIZO"
"PL","POLIGONO"
"PM","PARAMO"
"PQ","PARROQUIA, PARQUE"
"PR","PROLONGACION, CONTINUAC."
"PS","PASEO"
"PT","PUENTE"
"PZ","PLAZA"
"QT","QUINTA"
"RB","RAMBLA"
"RC","RINCON, RINCONA"
"RD","RONDA"
"RM","RAMAL"
"RP","RAMPA"
"RR","RIERA"
"RU","RUA"
"SA","SALIDA"
"SD","SENDA"
"SL","SOLAR"
"SN","SALON"
"SU","SUBIDA"
"TN","TERRENOS"
"TO","TORRENTE"
"TR","TRAVESIA"
"UR","URBANIZACION"
"VR","VEREDA"
"CY","CALEYA"
